sentence_id,sentiment,en_proportion,ta_proportion,na_proportion,num_switches,sentence_length,sentence
sent_00001,Negative,0.0,1.0,0.0,0,7,Enna da ellam avan seyal  Mari iruku
sent_00002,Negative,0.625,0.375,0.0,1,8,This movei is just like  ellam avan seyal
sent_00003,Positive,0.2308,0.6923,0.0769,6,13,Padam vanthathum 13k dislike pottavaga yellam yea da dislike  pannom nu feel pannanum
sent_00004,Positive,0.0,1.0,0.0,0,6,Neraya neraya neraya... ... V era level...thala
sent_00005,Positive,0.1429,0.8571,0.0,1,7,wow thavala sema mass....padam oru pundaikum aagathu
sent_00006,Negative,0.2857,0.5714,0.1429,2,7,Andha 19 k unlike panavangaluku kolandha porakathu
sent_00007,Positive,0.5556,0.4444,0.0,7,9,Yaarellam frst like pottutu video paaka start paneenga....hit like
sent_00008,Positive,0.375,0.625,0.0,2,8,Ethana padam vanthanu SALT AND PEPPER Mattum than..THÃLÃ🤩🤩
sent_00009,Positive,0.25,0.625,0.125,3,8,Thala mass  Hvy sprt kerala Surya anna fans
sent_00010,Negative,0.3333,0.6667,0.0,2,6,Elam avan jayal movie  remake pa
sent_00011,Positive,0.4118,0.5882,0.0,1,17,Dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga.. let him do such roles.. it's healthy!
sent_00012,Positive,0.1667,0.8333,0.0,2,6,vera lvl.... Thala sammaaaaaaaaaaaaa......Bgm sammaya iruku
sent_00013,Positive,0.2667,0.7333,0.0,5,15,Romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer.....
sent_00014,Positive,0.5,0.5,0.0,3,6,Nirav shah ....  Love u ma dear.....
sent_00015,Positive,0.25,0.75,0.0,4,8,Padam hit nu nenaikkuravange like podunge ..... Naan pottutten..
sent_00016,Negative,0.2308,0.7692,0.0,4,13,Thevdiya pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae
sent_00017,Negative,0.1667,0.8333,0.0,1,6,Dislikes podura thevidiya kandara oooooooli pasangala
sent_00018,Positive,0.1111,0.8889,0.0,1,9,Neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringa....#Thala...Vera level.....
sent_00019,Positive,0.2857,0.6429,0.0714,7,14,Superb thala... By thalapathy fan... Naraya naraya naraya... Vera vera vera 2um sink agudhu....
sent_00020,Positive,0.5556,0.4444,0.0,3,9,Last dialogue  epo ellam may epd than jalra taturaga
sent_00021,Positive,0.5,0.375,0.125,3,8,More than 20 times paathavanga mattum like pannunga..
sent_00022,Positive,0.1667,0.6667,0.1667,2,6,Thala and yuvan bgm Epa dae
sent_00023,Positive,0.3333,0.6667,0.0,1,6,Konjam purithu konjam puriyala.. But gud
sent_00024,Positive,0.3333,0.6667,0.0,2,6,Rangaraj pandey dummy piece   Thala munnadi
sent_00025,Negative,0.0,1.0,0.0,0,6,ennada setha ponam mari argue pandran
sent_00026,Negative,0.0,1.0,0.0,0,4,Gommala Thala da. Verithanam
sent_00027,Positive,0.2857,0.7143,0.0,4,7,Oru scene vachalum valuvaa irukuu trailer thala
sent_00028,Positive,0.4286,0.5714,0.0,3,7,Wowww thala Ajith Kumar is awesome paaaaaaaaa
sent_00029,Positive,0.1429,0.8571,0.0,2,7,Neraya Neraya Neraya like varanum  #thala rasiganda
sent_00030,Positive,0.25,0.75,0.0,2,16,Final touch thala mass ah soli irukapala  ketukonga da inimel aachum olunga irunga.... Ozm thrilling Trailer
sent_00031,Positive,0.5385,0.4615,0.0,1,13,after longtime i am watch my dear thala(apudi ellam nadakathu nadakka vittta maten...)
sent_00032,Positive,0.625,0.25,0.125,1,8,Acting to nxt level of thala ...U1 maranabangam..
