sentence_id,sentence,lang_id_labels,
2025-05-01T13:35:21.418123,Enna da ellam avan seyal Mari iruku,ta ta ta ta ta ta ta,
2025-05-01T13:35:25.536231,This movei is just like ellam avan seyal,en en en en en ta ta ta,
2025-05-01T13:35:30.145714,Padam vanthathum 13k dislike pottavaga yellam yea da dislike pannom nu feel pannanum,ta ta na en ta ta ta ta en ta ta en ta,
2025-05-01T13:35:34.610483,Neraya neraya neraya... ... V era level...thala,ta ta ta na ta en ta,
2025-05-01T13:35:38.947601,wow thavala sema mass....padam oru pundaikum aagathu,en ta ta ta ta ta ta ta,
2025-05-01T13:35:42.996228,Andha 19 k unlike panavangaluku kolandha porakathu,ta na na en ta ta ta,
2025-05-01T13:35:47.069260,Yaarellam frst like pottutu video paaka start paneenga....hit like,ta en en ta en ta en ta en en,
2025-05-01T13:35:51.281773,Ethana padam vanthanu SALT AND PEPPER Mattum than..THÃLÃ,ta ta ta en en en ta ta ta,
2025-05-01T13:35:57.034641,Thala mass Hvy sprt kerala Surya anna fans,ta ta en en ta ta ta en,
2025-05-01T13:36:01.043744,Elam avan jayal movie remake pa,ta ta ta en en ta,
2025-05-01T15:57:14.563268,Semmaa maasss. Shankar proud of tamil .,ta ta ta en en ta,
2025-05-01T16:12:16.927635,Enna Mari YouTube LA ye kuduthanam panravanga comment pannunga thala bloods,ta ta en na ta ta ta en ta ta en,
2025-05-01T16:23:32.647589,ராஜ்னி சூப்பர் ஸ்டார் Akshay is the best actor,ta ta ta ta en en en en,
2025-05-01T16:27:18.216785,I love u Rajini sir,en en en ta en,
2025-05-01T16:27:49.223102,"Pongalukku Sirappana, Tharamana, Mass entertainer flim",ta ta ta ta en en,
2025-05-01T16:28:56.580000,Maas maas maas thalaivar on track . Paakathaneporeee,ta ta ta ta en en ta,
2025-05-01T16:53:27.670627,Chiyan விக்ரமோட fans lam like button ah adichi thookunga paaklaamm........,ta ta en ta en en ta ta ta ta,
2025-05-01T16:24:38.224960,2:05 Marana massssssssssss luv u thalaivaaaaaaaaaaaa,na ta ta en en ta,
2025-05-01T16:39:48.163289,thalaiva vera lvl ....superstar Rajnikanth 2.0 khooo khoooo,ta ta en en ta na ta ta,
2025-05-01T16:38:14.467987,Rip Sr Prabhu punda mavan... Ne theru Kodi thaan di... Sad luck Karthi and Lokesh Anna...,en en ta ta ta ta ta ta ta ta en en ta en ta ta,
