sentence id,codemixed text,monolingual text
2025-05-01T13:35:21.418123,Enna da ellam avan seyal Mari iruku,"What the hell, everything he does is like that."
2025-05-01T13:35:25.536231,This movei is just like ellam avan seyal,This movie is just like everything he does.
2025-05-01T13:35:30.145714,Padam vanthathum 13k dislike pottavaga yellam yea da dislike pannom nu feel pannanum,"When the movie came and got 13k dislikes, everyone should think why we disliked it."
2025-05-01T13:35:34.610483,Neraya neraya neraya... ... V era level...thala,"A lot, a lot, a lot... ...V is next level...boss."
2025-05-01T13:35:38.947601,wow thavala sema mass....padam oru pundaikum aagathu,"""Wow buddy, it's extremely awesome... the movie won't be a waste of time."""
2025-05-01T13:35:42.996228,Andha 19 k unlike panavangaluku kolandha porakathu,That 19k unlike count is unbearable to see.
2025-05-01T13:35:47.069260,Yaarellam frst like pottutu video paaka start paneenga....hit like,Everyone first hit like and then start watching the video....hit like.
2025-05-01T13:35:51.281773,Ethana padam vanthanu SALT AND PEPPER Mattum than..THÃLÃ,"Only one movie came, SALT AND PEPPER, that's it."
2025-05-01T13:35:57.034641,Thala mass Hvy sprt kerala Surya anna fans,Thala is a mass hero and the heavy support for Kerala Surya anna fans.
2025-05-01T13:36:01.043744,Elam avan jayal movie remake pa,Everything is his Jai Lal movie remake.
2025-05-01T15:36:33.386693,Dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga.. let him do such roles.. it's healthy!,Please don't criticize this movie by saying it lacks mass or style.. let him do such roles.. it's healthy!
2025-05-01T15:36:37.372144,vera lvl.... Thala sammaaaaaaaaaaaaa......Bgm sammaya iruku,next level.... Thala is amazing......the background music is perfect
2025-05-01T15:36:45.155542,Romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer.....,"It's been a long time since we saw Ajith looking normal without Siva's buildup, finally a decent trailer..."
2025-05-01T15:36:49.046632,Nirav shah .... Love u ma dear.....,Nirav Shah.... I love you my dear.....
